5,1291581,怪物史瑞克,movie,1280,720,4579601,avc,dts,en,Shrek,2001-05-18,Andrew Adamson,90 分钟,美国,http://img3.douban.com/spic/s4075291.jpg,1,ftp://10.2.175.48/000/000/000000005/
6,1291582,怪物史瑞克2,movie,1280,720,4581256,avc,dts,en,Shrek 2,2004-05-19,Andrew Adamson,93 分钟,美国,http://img3.douban.com/spic/s4075289.jpg,1,ftp://10.2.175.48/000/000/000000006/
7,1291822,卢旺达饭店,movie,1280,544,4583673,avc,ac-3,en,Hotel Rwanda,2004-09-11,Terry George,121 分钟,英国,http://img3.douban.com/spic/s1656706.jpg,1,ftp://10.2.175.48/000/000/000000007/
10,1292211,对她说,movie,1280,544,4584304,avc,ac-3,es,Hable con ella,2002-08-22,Pedro Almodóvar,112 分钟,西班牙,http://img3.douban.com/spic/s4552136.jpg,1,ftp://10.2.175.48/000/000/000000010/
11,1292222,出租车司机,movie,1280,720,8333414,avc,dts,en,Taxi Driver,1976-02-08,Martin Scorsese,113 分钟,美国,http://img3.douban.com/spic/s1493185.jpg,1,ftp://10.2.175.48/000/000/000000011/
12,1292260,现代启示录,movie,1280,544,9147374,avc,dts,en,Apocalypse Now,1979-08-15,Francis Ford Coppola,153 分钟,美国,http://img3.douban.com/spic/s2554785.jpg,1,ftp://10.2.175.48/000/000/000000012/
14,1292347,黑客帝国动画版,movie,1280,536,4585971,avc,dts,,The Animatrix,2003-04-17,"Peter Chung, Andy Jones, Yoshiaki Kawajiri, Takeshi Koike, Mahiro Maeda, K?ji Morimoto,	Shinichir? Watanabe",102 分钟,美国,http://img3.douban.com/spic/s3140300.jpg,1,ftp://10.2.175.48/000/000/000000014/
15,1292440,一条叫旺达的鱼,movie,1280,720,4448860,avc,ac-3,,A Fish Called Wanda,1988-07-07,Charles Crichton,108 分钟,美国,http://img3.douban.com/spic/s1830299.jpg,1,ftp://10.2.175.48/000/000/000000015/
